,SPY213513,SPY213520,SPY213515,SPY213512,SPY213516,SPY213514,SPY213517,SPY202505,SPY202519,SPY202520,SPY213519,SPY213527,SPY213523,SPY213525,SPY213518,SPY213521,SPY213522
Syngnathus sp.,,,,,,,,20,,31,183,,,,,,
Balistes capriscus,,,,,,,,,,,,,,,77,37,
Zeus faber,,,,,,,,,,,,,103,56,,,
Dicentrarchus labrax,55689,88535,33452,31872,35329,5280,8958,118397,94922,52283,14874,27482,24572,27334,274464,92879,235239
Chromis chromis,,,32984,2335,4417,387,765,,,,431,,,43,,,
Sciaena umbra,,,,,168,13,,,,,189,,,,,,
Sphyraena viridensis,,,62,44,,14,21,,,,23,1668,,,,,
Mustelus mustelus,,,,,,,,,,,,,,,200,23,89
Raja sp.,1016,118,,,,,,1315,112,68,,,67,18,24,48,
Torpedo marmorata,531,927,137,,,,,,,59,,,11774,5474,744,2128,1429
